HPworkload,ground truth,random,prediction,_Threads,_Compute (SM) Throughput,_DRAM Throughput,_Memory Throughput,_Registers,_Static Shared Memory,exclusive_throughput,sm%,mem%,memcap,ground truth value
whisper-large-v2_batch8-inf,1.0,0.3636470371204494,1.0,0.07902106275912374,0.7151955346153366,1.0,0.2400614301260157,0.07902106275912374,0.07902106275912374,1.0,0.07902106275912374,0.2400614301260157,1.0,63.432861246081565
vit-base-patch16-224_batch8-inf,1.0,0.6438886632172491,0.9821456060138438,0.8475508953643445,0.9821456060138438,0.8475508953643445,0.8475508953643445,0.8475508953643445,0.8475508953643445,0.8719359223002174,0.43300427075440856,0.8475508953643445,0.8719359223002174,164.68619473544885
albert-base-v2_batch2-train,1.0,0.45848227538600184,0.9401992213113318,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.15444753534793698,0.9401992213113318,0.2429041168635533,1.0,0.6936939157338539,99.55182274105027
bert-base-cased_batch8-inf,1.0,0.6217826564707957,0.7497007093472036,0.8492484265236528,0.7196597669367438,0.8492484265236528,0.8492484265236528,0.8492484265236528,0.4200940524437016,0.607258982962451,0.554254842543541,0.8492484265236528,0.7196597669367438,150.99680863628137
wav2vec2-base-960h_batch8-inf,1.0,0.509498067674152,1.0,0.4556389969952503,0.7068441768316699,0.7068441768316699,0.40650364651856447,0.4556389969952503,0.21474764749201114,0.7068441768316699,0.4556389969952503,1.0,0.7068441768316699,120.63426590505317
bert-base-cased_batch8-train,1.0,0.5300317955196152,0.8186076151158612,0.6367572013849245,0.8846027208142897,0.6367572013849245,0.6367572013849245,0.6367572013849245,0.11278635473234923,0.9281510999578694,0.26646397415091333,0.6367572013849245,0.6032184485446053,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.7196065229912895,1.0,1.0,0.6939584295121761,1.0,1.0,1.0,0.3768609662890708,0.7828663053186059,0.7341938012620755,1.0,1.0,122.3660942640039
vit_h_14_batch8-train,1.0,0.417359715710633,0.9574444325669773,0.13866097153499876,0.11161524205369235,0.9574444325669773,0.11161524205369235,0.13866097153499876,0.13866097153499876,0.9574444325669773,0.13866097153499876,1.0,0.9574444325669773,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.6265432832741191,0.9168759341294026,0.8518809782245322,1.0,0.8518809782245322,0.8518809782245322,0.8518809782245322,0.2754748155056284,0.9168759341294026,0.5616891119626276,0.8518809782245322,0.9168759341294026,164.68619473544885
whisper-large-v2_batch16-inf,1.0,0.3476721624994071,1.0,0.15226486939478756,1.0,0.6371425351187133,0.23669581488622096,0.15226486939478756,0.09824558215721141,1.0,0.23360236750168367,0.23669581488622096,1.0,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.8443617331326323,0.9571786801011283,0.931998325755673,1.0,0.931998325755673,0.931998325755673,0.931998325755673,0.931998325755673,1.0,0.6697246871565069,0.931998325755673,0.9571786801011283,95.79629211272899
albert-base-v2_batch16-train,1.0,0.5522674462122081,1.0,0.9353966800994905,0.9353966800994905,0.9353966800994905,0.9353966800994905,0.9353966800994905,0.19131773870767432,1.0,0.4524553040185257,0.9353966800994905,0.6121217939728244,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.5435208413023755,0.9311812808543755,0.8312143213297982,1.0,0.8312143213297982,0.8312143213297982,0.8312143213297982,0.3436365097462,0.6790315669209175,0.45964818957769876,0.8312143213297982,0.7539034694556733,111.54883413926055
albert-base-v2_batch8-train,1.0,0.4836300680553109,1.0,0.6251166855463627,0.8648474839143732,0.6251166855463627,0.6251166855463627,0.6251166855463627,0.21649247331875762,0.6935724079324623,0.2778883294133905,0.6251166855463627,0.5796021446962236,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.7206828845259821,1.0,0.8575595254353239,0.9949170330470198,0.8575595254353239,0.8575595254353239,0.8575595254353239,0.8575595254353239,0.6363964027084391,0.45113416138436896,0.8575595254353239,0.9147804505891403,140.29303667130998
bert-base-cased_batch16-train,1.0,0.6683467739622179,1.0,0.693803840117359,1.0,1.0,0.8689615574588939,0.693803840117359,0.2799815186891671,1.0,0.7100005286870427,0.8689615574588939,1.0,50.153113530896476
bert-base-cased_batch2-inf,1.0,0.5804511853719674,0.7567513898553262,0.8937400618301844,1.0,0.8937400618301844,0.8937400618301844,0.8937400618301844,0.8937400618301844,0.7567513898553262,0.3733717187465107,0.8937400618301844,0.726479381278119,143.5958090967668
bert-base-cased_batch2-train,1.0,0.46195876806019176,1.0,0.7643427837335425,0.9774936621627098,0.7643427837335425,0.7643427837335425,0.7643427837335425,0.08538726863606634,0.7407914580874848,0.21100885990789842,0.7643427837335425,0.7485415994128946,92.66517971866735
vit_h_14_batch16-train,1.0,0.641182158158146,0.40111219267178433,0.40111219267178433,0.40111219267178433,1.0,1.0,0.40111219267178433,0.5224342818026537,0.5224342818026537,0.5224342818026537,1.0,0.40111219267178433,38.33225202987326
vit_h_14_batch2-train,1.0,0.45499522048573304,1.0,0.7044821906008567,0.7937387134826135,0.7044821906008567,0.7044821906008567,0.7044821906008567,0.05579372479694295,1.0,0.08502219357790342,0.7044821906008567,0.9315484616201056,89.84042789328248
whisper-large-v2_batch2-inf,1.0,0.4523649967157258,1.0,0.7367647965330117,0.7367647965330117,0.7367647965330117,0.7367647965330117,0.7367647965330117,0.09178514017929278,0.9940672279288373,0.23459360327590895,0.8201087807018417,1.0,85.42378243161039
