HPworkload,ground truth,random,prediction,_Threads,_Compute (SM) Throughput,_DRAM Throughput,_Memory Throughput,_Registers,_Static Shared Memory,exclusive_throughput,sm%,mem%,memcap,ground truth value
whisper-large-v2_batch8-inf,1.0,0.3813495160333886,1.0,0.11048875298365045,1.0,1.0,0.3356584577323057,0.11048875298365045,0.11048875298365045,1.0,0.11048875298365045,0.3356584577323057,0.18963600941092573,45.36689911107177
vit-base-patch16-224_batch8-inf,1.0,0.6226316154992688,1.0,0.8629584963519126,1.0,0.8629584963519126,0.8629584963519126,0.8629584963519126,0.8629584963519126,0.887786817923133,0.44087584173166394,0.8629584963519126,0.887786817923133,161.7458225305613
albert-base-v2_batch2-train,1.0,0.49942877613063463,1.0,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.15444753534793698,0.9401992213113318,0.30110760639476053,1.0,0.6936939157338539,99.55182274105027
bert-base-cased_batch8-inf,1.0,0.6385900401397201,1.0,0.8492484265236528,0.7196597669367438,0.8492484265236528,0.8492484265236528,0.8492484265236528,0.8492484265236528,0.607258982962451,0.554254842543541,0.8492484265236528,0.7196597669367438,150.99680863628137
wav2vec2-base-960h_batch8-inf,1.0,0.509498067674152,1.0,0.4556389969952503,0.7068441768316699,0.7068441768316699,0.40650364651856447,0.4556389969952503,0.21474764749201114,0.7068441768316699,0.4556389969952503,1.0,0.7068441768316699,120.63426590505317
bert-base-cased_batch8-train,1.0,0.5423563877555011,1.0,0.6367572013849245,0.8846027208142897,0.6367572013849245,0.6367572013849245,0.6367572013849245,0.11278635473234923,0.9281510999578694,0.26646397415091333,0.6367572013849245,0.6032184485446053,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.7196065229912895,1.0,1.0,0.6939584295121761,1.0,1.0,1.0,0.3768609662890708,0.7828663053186059,0.7341938012620755,1.0,1.0,122.3660942640039
vit_h_14_batch8-train,1.0,0.4299111483000924,1.0,0.13866097153499876,0.11161524205369235,0.9574444325669773,0.11161524205369235,0.13866097153499876,0.13866097153499876,0.9574444325669773,0.13866097153499876,1.0,0.9574444325669773,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.6023991239513767,1.0,1.0,1.0,0.9442358002821596,0.7543682123950479,1.0,0.2836950706133666,0.9442358002821596,0.6225323294207489,1.0,0.9442358002821596,159.91430169366595
whisper-large-v2_batch16-inf,1.0,0.35079790443711983,1.0,0.15226486939478756,1.0,0.6371425351187133,0.23669581488622096,0.15226486939478756,0.09824558215721141,1.0,0.23360236750168367,0.23669581488622096,1.0,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.8792891423278574,0.931998325755673,0.931998325755673,1.0,0.931998325755673,0.931998325755673,0.931998325755673,0.931998325755673,1.0,0.7165786074157361,0.931998325755673,0.9571786801011283,95.79629211272899
albert-base-v2_batch16-train,1.0,0.5936026491166848,0.9353966800994905,0.9353966800994905,0.9353966800994905,0.9353966800994905,0.9353966800994905,0.9353966800994905,0.3252817017560424,1.0,0.4524553040185257,0.9353966800994905,0.6121217939728244,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.5355381914413532,0.9311812808543755,1.0,1.0,1.0,0.5817276601304742,1.0,0.1365122594531888,0.6790315669209175,0.45964818957769876,0.5817276601304742,0.7539034694556733,111.54883413926055
albert-base-v2_batch8-train,1.0,0.462505900715647,0.9350971673474547,0.6758935567116803,0.9350971673474547,0.6758935567116803,0.6758935567116803,0.6758935567116803,0.234077686895899,1.0,0.3004605950834972,0.6758935567116803,0.6266819685256887,85.55314615703341
vit-base-patch16-224_batch2-inf,1.0,0.7022982791108355,1.0,0.8619407417410206,1.0,0.8619407417410206,0.8619407417410206,0.8619407417410206,0.8619407417410206,0.639647710884414,0.4534389767182208,0.8619407417410206,0.9194540049108875,139.57993180217647
bert-base-cased_batch16-train,1.0,0.6683467739622179,1.0,0.693803840117359,1.0,1.0,0.8689615574588939,0.693803840117359,0.2799815186891671,1.0,0.7100005286870427,0.8689615574588939,1.0,50.153113530896476
bert-base-cased_batch2-inf,1.0,0.5893059739091612,0.7567513898553262,0.8937400618301844,1.0,0.8937400618301844,0.8937400618301844,0.8937400618301844,0.8937400618301844,0.7567513898553262,0.3733717187465107,0.8937400618301844,0.726479381278119,143.5958090967668
bert-base-cased_batch2-train,1.0,0.44404734110064786,0.9774936621627098,0.7643427837335425,0.9774936621627098,0.7643427837335425,0.7643427837335425,0.7643427837335425,0.08538726863606634,0.7407914580874848,0.21100885990789842,0.7643427837335425,1.0,92.66517971866735
vit_h_14_batch16-train,1.0,0.8838877028587704,1.0,0.7677754057175404,0.7677754057175404,0.7677754057175404,0.7677754057175404,0.7677754057175404,1.0,1.0,1.0,0.7677754057175404,0.7677754057175404,20.026082559105152
vit_h_14_batch2-train,1.0,0.47048139794528065,0.7937387134826135,0.7044821906008567,0.7937387134826135,0.7044821906008567,0.7044821906008567,0.7044821906008567,0.05579372479694295,1.0,0.08502219357790342,0.7044821906008567,0.9315484616201056,89.84042789328248
whisper-large-v2_batch2-inf,1.0,0.4189337436260788,0.7367647965330117,0.7367647965330117,0.7367647965330117,0.7367647965330117,0.7367647965330117,0.7367647965330117,0.09178514017929278,0.9940672279288373,0.23459360327590895,0.7367647965330117,1.0,85.42378243161039
