HPworkload,ground truth,random,prediction,_PCIe read bandwidth,_PCIe write bandwidth,_Long_Kernel,_ave_Kernel_Length,_long/short_Ratio,_avg_Thread,exclusive_throughput,sm%,mem%,CPU%,MainMem%,ground truth value
whisper-large-v2_batch8-inf,1.0,0.27417635464850054,1.0,1.0,1.0,0.1247370280705411,0.4083991215457931,0.0646038342393538,0.1247370280705411,1.0,0.07902106275912374,0.2400614301260157,1.0,0.20613529271381878,63.432861246081565
vit-base-patch16-224_batch8-inf,1.0,0.6684626201032079,1.0,0.8362539172648639,0.8362539172648639,0.8629584963519126,0.8629584963519126,0.5656876308266504,0.8629584963519126,0.8362539172648639,0.44087584173166394,0.8629584963519126,0.49460631117065734,0.5656876308266504,161.7458225305613
albert-base-v2_batch2-train,1.0,0.5338006605639035,0.9190952875008682,0.3413534757810343,0.3413534757810343,0.7116454961154355,0.7116454961154355,0.31140132624982253,0.7116454961154355,0.6941997600206968,0.2429041168635533,0.7116454961154355,0.9401992213113318,0.6936939157338539,99.55182274105027
bert-base-cased_batch8-inf,1.0,0.6343070817359944,0.7497007093472036,0.425570367026222,0.7466199559173542,0.8492484265236528,0.8492484265236528,0.6198710228818003,0.8492484265236528,0.7466199559173542,0.554254842543541,0.8492484265236528,0.7497007093472036,0.6198710228818003,150.99680863628137
wav2vec2-base-960h_batch8-inf,1.0,0.605552778327131,0.9902907401573539,0.4332363774853572,0.4332363774853572,0.7661181000747064,0.7661181000747064,0.5408816857225652,0.7661181000747064,0.7896620849932613,0.4556389969952503,0.7661181000747064,0.7896620849932613,0.7068441768316699,120.63426590505317
bert-base-cased_batch8-train,1.0,0.5331659531486634,0.8819766686189561,0.39843953906845997,1.0,0.24685680705762508,0.5283209409844547,0.22451886709130514,0.9530805068856177,1.0,0.2870911580700693,0.5283209409844547,0.8819766686189561,0.39843953906845997,87.77058230585791
bert-base-cased_batch16-inf,1.0,0.6805445952629272,1.0,0.5804418972024599,0.5804418972024599,0.47366034913039673,0.34093455249185994,0.34093455249185994,0.7362930635229392,0.8334818062366462,0.6642026037888511,0.7679413175938113,0.8334818062366462,0.8076288644436603,135.26057769240936
vit_h_14_batch8-train,1.0,0.35166753969177844,1.0,1.0,1.0,0.2275656610257798,0.3310356655844739,0.3310356655844739,0.2275656610257798,1.0,0.1448240407678164,0.11657620876696088,1.0,0.3310356655844739,67.25758135439466
vit-base-patch16-224_batch16-inf,1.0,0.7072158086363204,1.0,0.5490316618759645,0.5490316618759645,0.8773013744577847,0.8773013744577847,0.6225323294207489,0.8773013744577847,0.7744047310906996,0.5784500916663324,0.8773013744577847,0.9442358002821596,0.9266117822417036,159.91430169366595
whisper-large-v2_batch16-inf,1.0,0.30060390427767647,0.4499417115583214,0.3164147431222791,1.0,0.3350483984690859,0.3350483984690859,0.16430429476399308,0.3350483984690859,1.0,0.3164147431222791,0.3350483984690859,0.3044983956501828,0.16430429476399308,46.115004525352035
