HPworkload,ground truth,random,prediction,_Threads,_Compute (SM) Throughput,_DRAM Throughput,_Memory Throughput,_Registers,_Static Shared Memory,exclusive_throughput,sm%,mem%,memcap,ground truth value
whisper-large-v2_batch8-inf,1.0,0.4158394878338652,1.0,0.11048875298365045,1.0,1.0,0.3356584577323057,0.11048875298365045,0.11048875298365045,1.0,0.11048875298365045,0.3356584577323057,0.18963600941092573,45.36689911107177
vit-base-patch16-224_batch8-inf,1.0,0.6413725049176578,0.8629584963519126,0.8629584963519126,1.0,0.8629584963519126,0.8629584963519126,0.8629584963519126,0.8629584963519126,1.0,0.44087584173166394,0.8629584963519126,0.8629584963519126,161.7458225305613
albert-base-v2_batch2-train,1.0,0.5597957106326982,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.9190952875008682,0.08641928866686825,0.9401992213113318,0.35581619355738403,1.0,0.6936939157338539,99.55182274105027
bert-base-cased_batch8-inf,1.0,0.7193213962302185,1.0,1.0,0.847407830807091,1.0,1.0,1.0,1.0,0.7150545870873485,0.5011141071738792,1.0,0.847407830807091,128.23380214445507
wav2vec2-base-960h_batch8-inf,1.0,0.5554714014320806,0.7068441768316699,0.4556389969952503,0.7068441768316699,0.7068441768316699,0.40650364651856447,0.4556389969952503,0.21474764749201114,0.7068441768316699,0.4556389969952503,1.0,0.7068441768316699,120.63426590505317
bert-base-cased_batch8-train,1.0,0.582203268971468,0.8846027208142897,0.6367572013849245,0.8846027208142897,0.6367572013849245,0.6367572013849245,0.6367572013849245,0.11278635473234923,0.9281510999578694,0.34821789086517707,0.6367572013849245,0.6032184485446053,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.7196065229912895,1.0,1.0,0.6939584295121761,1.0,1.0,1.0,0.3768609662890708,0.7828663053186059,0.7341938012620755,1.0,1.0,122.3660942640039
vit_h_14_batch8-train,1.0,0.4780407179784001,1.0,0.13866097153499876,0.11161524205369235,0.9574444325669773,0.11161524205369235,0.13866097153499876,0.13866097153499876,0.9574444325669773,0.13866097153499876,1.0,0.9574444325669773,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.5535653130469792,1.0,1.0,1.0,1.0,0.7543682123950479,1.0,0.2836950706133666,1.0,0.6225323294207489,1.0,0.6225323294207489,159.91430169366595
whisper-large-v2_batch16-inf,1.0,0.3696770214892818,0.6371425351187133,0.15226486939478756,1.0,0.6371425351187133,0.09824558215721141,0.15226486939478756,0.09824558215721141,1.0,0.15226486939478756,0.6371425351187133,1.0,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.8912524291722881,0.9571786801011283,0.7165786074157361,1.0,0.9571786801011283,0.9571786801011283,0.7165786074157361,0.9571786801011283,1.0,0.7165786074157361,0.9571786801011283,0.9571786801011283,95.79629211272899
albert-base-v2_batch16-train,1.0,0.6364914865476599,0.6121217939728244,0.44130907923320595,1.0,0.6121217939728244,0.6121217939728244,0.44130907923320595,0.8425494915750965,1.0,0.45608041232739366,0.8425494915750965,0.6121217939728244,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.5670632115103403,1.0,1.0,1.0,1.0,0.5817276601304742,1.0,0.1365122594531888,0.9311812808543755,0.45964818957769876,0.5817276601304742,0.9311812808543755,111.54883413926055
albert-base-v2_batch8-train,1.0,0.5249231003420253,0.6758935567116803,0.6758935567116803,0.9350971673474547,0.6758935567116803,0.6758935567116803,0.6758935567116803,0.15283776234991336,1.0,0.3004605950834972,0.6758935567116803,0.6266819685256887,85.55314615703341
vit-base-patch16-224_batch2-inf,1.0,0.7092594533582155,0.8619407417410206,0.8619407417410206,1.0,0.8619407417410206,0.8619407417410206,0.8619407417410206,0.8619407417410206,0.8766739794473509,0.4534389767182208,0.8619407417410206,0.9194540049108875,139.57993180217647
bert-base-cased_batch16-train,1.0,0.63726658016454,1.0,0.693803840117359,1.0,1.0,0.4802604342820521,0.693803840117359,0.2799815186891671,1.0,0.7100005286870427,0.4802604342820521,1.0,50.153113530896476
bert-base-cased_batch2-inf,1.0,0.6087669304710897,1.0,1.0,0.8128531015947164,1.0,1.0,1.0,1.0,0.8467242570570963,0.41776321180224035,1.0,0.8128531015947164,128.3373273006997
bert-base-cased_batch2-train,1.0,0.5023626872348896,0.9774936621627098,0.7643427837335425,0.9774936621627098,0.7643427837335425,0.7643427837335425,0.7643427837335425,0.07577490447340328,0.7407914580874848,0.21100885990789842,0.7643427837335425,1.0,92.66517971866735
vit_h_14_batch2-train,1.0,0.44337514870923284,0.7937387134826135,0.7044821906008567,0.7937387134826135,0.7044821906008567,0.7044821906008567,0.7044821906008567,0.05579372479694295,1.0,0.08502219357790342,0.7044821906008567,0.7044821906008567,89.84042789328248
whisper-large-v2_batch2-inf,1.0,0.399187235856557,1.0,0.14145105212560766,0.9940672279288373,1.0,0.04407695001775774,0.14145105212560766,0.09178514017929278,0.9940672279288373,0.23459360327590895,0.5740587408986941,1.0,85.42378243161039
