workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
bert-base-cased_batch2-inf,whisper-large-v2_batch16-inf,"(10.608698627131464, 3.6256373677374336)","(21.40036152732444, 3.302381196721141)","(30.092850538641546, 2.8800748281123565)","(37.17289563166393, 2.3324233348352728)","(46.72139004551969, 2.134940073418217)","(56.57759884942273, 1.7198255369287059)","(62.77860676981073, 1.231643770724775)","(73.44277718364002, 0.7734886756423581)","(83.05246052888592, 0.4116629252510179)","(11.300437361637135, 3.767801161091303)"
bert-base-cased_batch2-inf,whisper-large-v2_batch8-inf,"(10.67479984750286, 3.3551727020381805)","(21.41022556355331, 3.0247200704728594)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(82.92494678180331, 0.3861521546753908)","(16.201531098529, 3.6043679737661463)"
bert-base-cased_batch2-inf,bert-base-cased_batch16-inf,"(10.279605263157894, 99.33028595726587)","(24.793388429752067, None)","(29.49094847593997, 76.43603880699574)","(37.051355405384506, 65.65393965795872)","(46.15046677649643, 54.09160376047793)","(55.8411111602601, 43.42088142902284)","(63.67556166651092, 32.70723801656364)","(73.32628642997362, 21.590446966616142)","(82.78787677929309, 10.90875716214976)","(16.64608076009501, 95.49114989984875)"
bert-base-cased_batch2-inf,bert-base-cased_batch8-inf,"(10.366732920222924, 93.84541218062029)","(21.113893212424713, 83.67661281656338)","(30.019082338868163, 73.42448530567343)","(37.981242551427535, 65.21314312833255)","(46.90039470629208, 52.80169978074637)","(56.65671748494218, 44.515588078359634)","(64.20933715156451, 32.593378074814076)","(74.17996842659183, 21.536901304568293)","(75.94936708860759, None)","(27.808676307007786, 83.36307187210049)"
bert-base-cased_batch2-inf,vit-base-patch16-224_batch8-inf,"(12.356027444040857, 79.6182685753238)","(23.93404839996454, 76.91041385441017)","(34.17842486930125, 73.70712775691793)","(43.58176158212781, 71.75328664455094)","(51.57678301582977, 64.69122126834672)","(60.52354181307098, 57.16942806098725)","(67.69637785472513, 49.70424273373335)","(76.89413150532533, 41.30565477242989)","(84.51030554616982, 24.03638384129401)","(70.74973600844773, 69.29077803814552)"
bert-base-cased_batch2-inf,vit-base-patch16-224_batch2-inf,"(12.512218963831867, 68.0573359748281)","(24.327443842670693, 67.11100896345668)","(34.794245567079294, 64.0)","(43.64569961489089, 60.37423756848961)","(52.87759275489337, 56.35433754704236)","(61.96377502383222, 50.5802875454703)","(68.52551984877127, 43.55283764635692)","(78.18930041152262, 36.093943139678615)","(85.33512514698471, 21.94581188230431)","(76.80907274953283, 48.06979998353774)"
bert-base-cased_batch2-inf,vit-base-patch16-224_batch16-inf,"(12.16663585796629, 83.06516134767536)","(23.633306620154308, 78.85365153842258)","(33.54524550250236, 75.61216397740698)","(42.12894607326162, 70.31908488862132)","(51.337950469911064, 66.54512306289881)","(60.40657322139625, 61.611499406567326)","(67.2987351729563, 51.80347500194041)","(76.1671558532116, 40.07514088916719)","(83.09658738776258, 24.368998377834227)","(67.51054852320675, 78.76856675602313)"
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch2-inf,"(11.470561878304506, 51.60031917723202)","(22.554728385051963, 47.0873786407767)","(31.896116994452846, 40.668017608832365)","(39.975570484703795, 35.75817154091914)","(48.773766877927805, 30.21963757204424)","(58.14915494622385, 25.13387458973916)","(65.43483002523914, 19.825589317345685)","(74.92782389029232, 14.094057248026349)","(83.43260224698105, 7.167046364140139)","(52.786540483701366, 33.21538637141879)"
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch16-inf,"(10.751008720551868, 62.692716819044804)","(21.78323029366306, 58.66418032683609)","(30.647511971684363, 50.67920585161964)","(38.45676715047761, 43.281833900384854)","(47.348043453745824, 36.662860742548915)","(None, None)","(None, None)","(73.04253748254713, 15.43447132413897)","(82.54303935498794, 7.871973092164703)","(23.653021981474733, 61.45398870175809)"
bert-base-cased_batch2-inf,bert-base-cased_batch2-inf,"(11.317704122877931, 84.2834463847597)","(22.099447513812155, 75.35483870967742)","(31.363088057901084, 64.88888888888889)","(39.496708607616036, 57.03682000195331)","(48.0631765266526, 47.295108519598315)","(57.87417181040829, 38.12508160334247)","(64.97963666315837, 30.29045643153527)","(75.54447215295096, 21.431979155198356)","(84.23111233102313, 10.671344516317655)","(54.79849231661351, 49.52090223013653)"
