workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
albert-base-v2_batch2-train,whisper-large-v2_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(3.8838592978200177, 3.693033998756298)"
albert-base-v2_batch2-train,whisper-large-v2_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(4.90239666139081, 3.700801045380914)"
albert-base-v2_batch2-train,whisper-large-v2_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(10.753004083791168, 2.771771743168202)"
albert-base-v2_batch2-train,bert-base-cased_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(6.350704020902889, 93.996459037502)"
albert-base-v2_batch2-train,bert-base-cased_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(9.729663156598312, 83.86888306466089)"
albert-base-v2_batch2-train,vit-base-patch16-224_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(22.196555014312256, 69.30105612910882)"
albert-base-v2_batch2-train,vit-base-patch16-224_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(23.80952380952381, 47.0360824742268)"
albert-base-v2_batch2-train,vit-base-patch16-224_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(21.32138453673353, 78.23043820431674)"
albert-base-v2_batch2-train,wav2vec2-base-960h_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(16.222702183825294, 34.25342828556295)"
albert-base-v2_batch2-train,wav2vec2-base-960h_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(7.720493621401698, 61.38835783505834)"
albert-base-v2_batch2-train,wav2vec2-base-960h_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(10.387197567875692, 54.86166753075364)"
albert-base-v2_batch2-train,bert-base-cased_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(17.477500978218337, 51.58099275746335)"
albert-base-v2_batch8-train,whisper-large-v2_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(7.450307986514724, 3.322266247958369)"
albert-base-v2_batch8-train,whisper-large-v2_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(10.068943480493251, 3.0068079401428234)"
albert-base-v2_batch8-train,whisper-large-v2_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(18.106009718666982, 1.9338632074217816)"
