workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
bert-base-cased_batch2-inf,whisper-large-v2_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(36.35020909009882, 2.063000179201287)"
bert-base-cased_batch2-inf,whisper-large-v2_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(36.78431733468317, 2.064275138386302)"
bert-base-cased_batch2-inf,whisper-large-v2_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(39.47423841226964, 1.7345588498265443)"
bert-base-cased_batch2-inf,bert-base-cased_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(35.69805489910925, 55.28536097601382)"
bert-base-cased_batch2-inf,bert-base-cased_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(39.5411769457571, 50.225757901526556)"
bert-base-cased_batch2-inf,vit-base-patch16-224_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(65.91370113445694, 67.41897313053768)"
bert-base-cased_batch2-inf,vit-base-patch16-224_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(67.89210507782238, 59.79930370673766)"
bert-base-cased_batch2-inf,vit-base-patch16-224_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(65.05926724137932, 68.48933519020743)"
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(43.4273445886601, 29.42514788411952)"
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(38.35114882790077, 37.38828082967293)"
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(38.73427373236752, 36.8926499952458)"
bert-base-cased_batch2-inf,bert-base-cased_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(46.12889663042825, 40.437612519041686)"
bert-base-cased_batch16-inf,whisper-large-v2_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(50.46977324439366, 1.8374651487730027)"
bert-base-cased_batch16-inf,whisper-large-v2_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(48.746638627335415, 1.9268032089241411)"
bert-base-cased_batch16-inf,whisper-large-v2_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(54.127253011927785, 1.5984312303800805)"
