Type,Exclusive100,sm%,mem%,memcap
whisper-large-v2_batch16-inf,24.59818976428725,50.03021148036254,22.38368580060423,15.4
whisper-large-v2_batch8-inf,10.73243670597552,45.11811023622048,19.79265091863517,11.4
whisper-large-v2_batch2-inf,1.7085028704506966,37.63403263403264,16.834498834498834,8.3
bert-base-cased_batch16-inf,99.82511698255897,97.0,38.0,1.6
resnet-50_batch8-inf,86.28038401307278,10.105263157894736,3.421052631578948,2.5
resnet-50_batch2-inf,64.83831354891527,12.153846153846152,1.5384615384615383,1.3
resnet-50_batch16-inf,89.02859826928983,8.789473684210526,3.5789473684210527,3.9
bert-base-cased_batch8-inf,98.34844157456848,96.0,38.0,1.4
mobilenet_v2_1.0_224_batch2-inf,65.16105146242133,5.923076923076923,0.0769230769230769,1.2
vit-base-patch16-224_batch8-inf,79.59099074202018,27.05555555555556,6.055555555555555,3.1
mobilenet_v2_1.0_224_batch8-inf,88.38052727019111,4.684210526315789,0.8421052631578947,2.2
vit-base-patch16-224_batch2-inf,63.42342342342342,29.454545454545453,4.181818181818182,1.6
vit-base-patch16-224_batch16-inf,81.32013201320132,29.0,6.026315789473684,5.1
mobilenet_v2_1.0_224_batch16-inf,94.27609427609428,4.222222222222222,2.055555555555556,3.6
wav2vec2-base-960h_batch2-inf,17.806821914492676,17.464285714285715,5.428571428571429,3.9
wav2vec2-base-960h_batch16-inf,126.2100232814606,21.0,7.98,21.5
wav2vec2-base-960h_batch8-inf,66.49987894439512,18.24,6.6,11.4
bert-base-cased_batch2-inf,84.1300191204589,92.5,40.0,1.2
vit_h_14_batch8-train,9.500815660685156,96.99371069182388,32.52201,17.4
mobilenet_batch16-train,429.87894892235016,16.142857142857142,0.01,1.2
vit_h_14_batch16-train,10.390129377091762,96.87847222222224,30.67013888888889,21.2
resnet-50_batch16-train,198.0952380952381,57.5,31.9,2.8
bert-base-cased_batch16-train,32.58655804480652,97.01724137931036,42.82758620689656,7.4
mobilenet_batch2-train,48.80665057656208,14.125,0.01,1.2
resnet-50_batch2-train,45.2286282306163,22.6,6.1,1.5
bert-base-cased_batch8-train,29.24021138236145,96.7,45.2,4.9
vit_h_14_batch2-train,6.908856242645105,97.51923076923076,47.9423,14.3
albert-base-v2_batch2-train,25.6782694402656,97.0,43.0,2.3
albert-base-v2_batch8-train,29.67588370763072,97.38028169014083,46.74647887323944,6.6
albert-base-v2_batch16-train,31.21636167922497,97.3793103448276,45.672413793103445,12.4
resnet-50_batch8-train,148.3897268650632,49.625,21.875,2.1
bert-base-cased_batch2-train,23.23807288304677,97.27272727272728,47.76623376623377,3.1
mobilenet_batch8-train,237.3655037495924,14.5,0.25,1.2
whisper-large-v2_batch1-inf,0.6252,29.91891891891892,15.013513513513514,7.8
resnet-50_batch32-inf,2.6797,7.862068965517241,4.344827586206897,6.7
vit-base-patch16-224_batch1-inf,44.2091,28.815,4.15,1.4
mobilenet_v2_1.0_224_batch64-inf,1.4510,3.5445544554455446,2.504950495049505,12
wav2vec2-base-960h_batch1-inf,9.4303,14.428571428571429,2.571428571428572,2.5
resnet-50_batch32-train,6.7901,66.61538461538461,42.07692307692308,4.2
mobilenet_batch64-train,17.2289,19.228915662650603,1.5180722891566265,1.3
